Wallet,UMAP_X,UMAP_Y,UMAP_Z
5SHjDACvwtox5nY8kpWNYyaceWjtTG8C6L821D9Gtpjf,-4.150212,1.1532571,7.064188
JD6rVaerbyz6wjQ433nrw6bFTgFrp46MiYmi8EtUAfsG,-3.320697,-0.5246669,9.620495
EGbUUwckAFuocMcsce2JPbBvRZXxJ9rhnhCRrba9n6XA,-3.3044345,-0.54834014,9.647585
2kfQuYG2FVZL2RqqKEttcdadbPWP4c7b6AFQztNcBWyV,-4.034469,1.6493651,6.936059
A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,-4.003531,1.7274021,7.053972
FWsW1xNtWscwNmKv6wVsU1iTzRN6wmmk3MjxRP5tT7hz,-4.0041766,1.6797212,7.0448136
2uF4Xh61rDwxnG9woyxsVQP7zuA6kLFpb3NvnRQeoiSd,-4.008682,1.713329,7.013895
H3f4q1Y7mo7qwL5rKFpbesmJ8nKjkFPR6xWtYXGKCKqK,-4.1238513,1.3474327,7.010543
FkEB6uvyzuoaGpgs4yRtFtxC4WJxhejNFbUkj5R6wR32,-4.285053,0.62244666,7.1165886
2U5S52n2L9Rr8vjDiEFRmHo5iQjJQg9zAgJ5nY1aWXK1,-3.8346837,1.7858298,7.373736
Enc6rB84ZwGxZU8aqAF41dRJxg3yesiJgD7uJFVhMraM,-3.848291,1.8353451,7.30938
ATowQwFzdJBJ9VFSfoNKmuB8GiSeo8foM5vRriwmKmFB,-3.8288858,1.8371347,7.351368
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,-1.29153,-3.4437056,1.8433795
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,-1.9565072,1.9309036,13.99835
26ooGGTHJwqr56cNg68oQge98LHw7Gq6HQw4grycFtEb,-4.031408,1.3707043,7.1309614
F2KCaXcp7AoQtxTDvNEDCyMyWjSCAMWNzcyN9dsPfPs5,-4.2472625,1.2570662,6.9149346
5hWJUNTtEtKmKgDXpthJXXRRmJrz5vJ7uJzrUNVdrwLg,-4.1351385,1.1573304,7.0601482
ig9EkJ63zrSRg7BKMGdyfPfNRCRwxGNVV1FByz26QkC,-3.386635,-0.35575366,9.38989
4o9kDwyuBhcCF6mmp78HZHPc5Kdw1AmcSwBpcdyQhZvT,-3.384083,-0.36084297,9.396094
9UsCdZVuHTofPbt8RA41STuD1FJsQ1t9pqmAXfnHubgG,-4.0138216,1.6929078,6.821614
Fae5dWVntUt6zbWu2voXxioDpMii7SqQwtsxBmoVCsHR,-4.2483783,1.2766331,6.9059477
Eqv1tJGkLFeH4giGy8vqKxF4NJBHtGR5cGmKG6cpVy4Z,-4.1743655,1.4554331,6.8663707
GMCJvYGf5Ex2ARiMquaBDqU6iKM8uiEQkB8jCnoNfHpC,-4.23689,1.3569689,6.886352
NNNmq2kyMRToN1vXWLU6wnXXWqkoQxV3PKi9DWXFyha,-3.7924025,1.6487181,7.8533106
4nFbdT7DeXATvaRZfR3WqALGJnogMjqe9vf2H6C1WXBr,-3.7952785,1.6549282,7.833873
GPfvQ6G5ujW25hUJoYfRtporMb5tF5pmtcCXhL3oef8W,1.0482836,0.35835245,11.211063
9kdjXS1cdZSGBSKpWpdUFwje8HqB8ovHRpAFMHecRuAf,-3.8938522,2.0162601,6.900704
J4uBbeoWpZE8fH58PM1Fp9n9K6f1aThyeVCyRdJbaXqt,1.036619,0.36810145,11.200822
A2R6ydBWCfmJBAjF8GPedypA8BmCgFzHYV7oW3Yhnzpz,-4.2174234,1.3349848,6.897398
3iCcc5iXwqtnZeJ3x5aui6j4SCAGSXwz6fDYjr2nueVA,-4.271087,1.3411504,6.871691
7PLpcezEnTV2xXU6eL3j4kLi9MJJFUngsWQvUNKyjE2V,-4.025206,1.4790502,7.2382946
F13efE5K3HsUJv47BbwB9R9G7AjMz3iXJFHYjjHBndHs,-3.3093402,-0.5410592,9.638672
EWjkJiuf4oCZhmyDcF2veyCuw4j9tAz7rpZvLQNpHUSP,-4.1505337,1.1276412,7.0911746
7uSKjzJrvBmkaJFke8com2XkCdjFJxQdugxZkTVNAn9v,-3.805343,1.5957329,6.7449894
AnjZBXg7KFoKezfN4qpmtmVy9Z5yTKJX43duHkQUaj2F,-3.9419813,1.3732853,6.935202
7ubS3GccjhQY99AYNKXjNJqnXjaokEdfdV915xnCb96r,-4.089164,1.1387099,7.2839823
CreQJ2t94QK5dsxUZGXfPJ8Nx7wA9LHr5chxjSMkbNft,-3.9677598,2.006164,6.9629173
9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,-3.902057,1.9677314,6.920925
7ENJsaWAy4PRs24NYd1WqUdY3DWi43rHvyZXhCjEiNWE,-4.083901,1.1611433,7.2878385
3dozCLAkkP2crzAggABNwFejj2LjAAFJSpDkVDDoBWwu,-3.8867266,1.37583,6.8821135
riDi6z4Lzch9FvcEzmkkx9gqCoPniMrTMFchbGaikGq,-3.3162289,-0.42218632,9.453442
DcQNaByvstRZCERvb9UJHgHiQe8YX2FMdPptM86psQyz,-3.811054,1.6178062,6.7663493
E6x4W9F6eEzZJZFrs7kvzWMT1kJ8naXJfnQMBBCgawfy,-4.164279,1.1398627,7.0234375
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,-1.9345006,1.4687958,5.1981945
5jGLNg6ktnssJy6h3ha6361FcKnrCnFjiPpzHTSQvbmc,-1.9345324,1.4690684,5.1981554
EJ8QTGejSKHHr42jUYizQA5riAtXh43ZrzgRYMHJqRqY,-3.8408835,2.1115255,6.7332506
8MfaAAZBN3N6UYopSZT49GBVdzUtwJkvsSNABrAFDrYQ,-3.884902,1.8603905,7.063493
65ZHSArs5XxPseKQbB1B4r16vDxMWnCxHMzogDAqiDUc,-3.981234,1.7945787,6.9887257
8zgrPraAbuQFLfuSmzps247jBSNd7GcZgNhT25d4M6V4,-3.8707438,2.0025692,6.977249
j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,-3.9140978,1.9493754,6.9129796
27ZASRjinQgXKsrijKqb9xyRnH6W5KWgLSDveRghvHqc,-3.895817,2.0085857,6.9009824
5mHTXRU1bgBDo9vUoHKkCidbFRc2mLHSgTTdQyZBjMfg,-3.9762943,1.6827034,7.128847
FkS3KQcobnWyLVd5FpEYdTyUsuXW42bBDv83bj8KeQn4,-3.834672,2.0058665,7.02177
ERcyMw5fgPM1RJXqcWKWcUsfbgSWsvyTWNdxvRxmai4D,-3.8565648,1.9583219,7.005646
EYZSUoFYU7n7Q3RNR4vWcLZ5dh4UzwhtcE27MrqFgSBR,-3.9100676,1.9314495,6.891379
2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv,-3.935846,1.6435714,7.27051
2FquR7oAtpVTbKq1oCGFPbkcDKoExvnVMLSRSXBmyPcs,-3.8265579,1.852276,7.352797
6kpS4gD8hr58aXY7SoEB2ZqPNaWUKj2novvE6aTAb2XE,-4.0343833,1.4521054,7.1878066
ECPCYdhm6iKSV8eNxJC7jQoEmeYJ33486Le4JZCGUmBT,-4.0405483,1.500784,7.132586
CdPjwUtqJNZntuDoyCEy3FM6bBUwdAcWHEwwz8rWqZpy,-4.1341815,1.1597897,6.9420533
F79w9myaPR3jGU2486qT8pSoZjpKnbfkcWpykm6J6iYB,-3.570385,1.6385865,6.4970856
7wAC5v4uwByc9RbqJ3hbB3edKosrMmi4Udjv5RtoWEQy,-3.578273,1.6447982,6.505514
8DvphQdR2CbhsU8ca5RMsyF2xS3asLgvNeTiF6LzUtiK,4.0565863,-3.3759239,7.58526
Ffuzfc5YPo5vP69HVfqnYa8hXAGzPNPsmMsQ1A2Lq9e8,2.8840764,-3.1710596,7.3482814
AgdsbHCqgbbLoqJDg8ib1HwUYK2YQJxhzcStXN3hNBTG,3.6164365,-3.2461863,7.194406
HJcrk5NrGmCZXhkNzqTwJvC1Y8k2TbD8GppysS2XanS9,-3.5767245,1.6407868,6.4993873
9MVjKsHJ58KedW9ah8nqucZyu4BrQmhy2ebsTyNtWAJH,-3.5615735,1.638061,6.4876575
2oR3RTGrxzMEHmL7Y56fygmYs3GGiCH3QrYnTzxSw6kg,-3.5953481,1.6598998,6.501439
6o2Gw6fwE1cMcNh7zCxETXvXYVvXRWBfUKpfQq8QybJK,-3.570406,1.6447862,6.4902315
3RryBP1EyMQ3YVVxHW9CtHQViWrMDzWdg5sCuLGCR36v,-3.5439484,1.6410524,6.472281
PV5yAGtTVwth4rVhuxDeVQ7cwcfEQ4kt5S2kZxdwAUf,-3.5617466,1.656595,6.481944
9WqcEf3uyFgihPZkNpEqpPVmd8Et5w4tDGmpWhx8SGLM,-3.5906703,1.6632489,6.5097194
BoBU56jCkSXNx8Nj3d2ooH29D6qdnf2LKD9ehXpHnzfW,-3.575311,1.6431463,6.503298
FPvMhL5gu4UYDd28jYk5QkvKYPruoB4xqMuhSWrnb2Si,-3.5642314,1.6421721,6.4912024
Hq9YkDHMNZduhNTZL8aP2EPyFjjrh89phZxAqnJhXS6Y,-3.586744,1.6616611,6.4900236
2b8eF3P1CR6nLpQz87Wzf9jB7N4KF6TS9Wo6bHYWBxQ5,-3.5805657,1.6454812,6.4973855
4BMgaUuMHsVeMdMUKRZMRkgAtZsLvpHJ27uZ6Ma8Q8v1,-3.590074,1.6634727,6.499229
AGEJK8sX31HNVpw5Kt94Z7a1JxrwA1b3Ekn32CoLi31w,3.3147109,-2.4924326,6.057472
yYWjk6ycNwCPYAjqykJYYDK12geW9JBRi3RqZHu4Rmt,-3.9153144,1.9238524,6.8582177
6htYxKbKSuuk9DsRf9mG5iz2zw5FCKq8k4T7kUiCxCwr,-3.8428485,2.002269,6.97918
5QrLmzRfisGXddp43oVvReLTziMvjAAsx89zf4iqttHh,-3.8870091,1.9623244,6.905393
GkJvrvo8Kw2csKXbL1HapzV1pS2zwrPXp7dvkYkDaTah,-3.8449883,2.0004485,6.955961
