Model,Notebook,Recall_Scam,Precision_Scam,F1_Scam,Recall_Organic,F1_Organic,Caught,Total_Scam,Threshold
GCN,graphs.ipynb,0.9919354838709676,0.25625,0.4072847682119205,0.8238776517020227,0.9031909140075716,123,124,0.7
GAT,graphs.ipynb,0.9919354838709676,0.2536082474226804,0.4039408866995074,0.8214109521460287,0.9017059301380992,123,124,0.7
GNN (GraphSAGE-main),feature_engineering.ipynb,0.967741935483871,0.18838304552590268,0.31537450722733246,,,120,124,0.7
XGBoost,feature_engineering.ipynb,0.43548387096774194,0.6,0.5046728971962616,,,54,124,0.7
